repo,issue_1_number,issue_1_text,issue_2_number,issue_2_text,is_duplicate,cosine_similarity
OpenLake/OpenLake--Website,43,"Add CONTRIBUTING.md guide for new developers
## 🔍 Summary
No CONTRIBUTING.md file found. This is the first file new contributors look for when joining a project.

## 📋 What Needs to Be Done
- [ ] Create `CONTRIBUTING.md` at repository root with:
  - Development environment setup instructions
  - Code style guidelines and linting configuration
  - Git workflow (branch naming, commit message conventions)
  - Pull request template and checklist
  - How to run tests locally
  - How to report bugs
  - Code of Conduct reference

## 💡 Template
GitHub provides a starter template: https://docs.github.com/en/communities/setting-up-your-project-for-healthy-contributions/setting-guidelines-for-repository-contributors",20,"Create documentation for contributors
# Create documentation for contributors
This is a sub-issue of #15 
## Overview
Develop comprehensive documentation to guide contributors on how to submit new blog posts to our platform.

## Tasks
- [ ] Write CONTRIBUTING_BLOGS.md guide with clear step-by-step instructions
- [ ] Create a blog post template file (blog-template.md) with example frontmatter
- [ ] Document all required and optional frontmatter fields with descriptions
- [ ] Provide examples for common Markdown formatting elements (headings, lists, code blocks)
- [ ] Include guidance on image inclusion and optimization
- [ ] Document the full contribution workflow (fork → create → submit PR)
- [ ] Add troubleshooting section for common issues

## Contents for CONTRIBUTING_BLOGS.md
1. Introduction and purpose
2. Prerequisites (GitHub account, basic Markdown knowledge)
3. Step-by-step contribution process
4. Frontmatter fields reference
5. Markdown formatting guidelines
6. Media inclusion guidelines
7. Sample blog post examples
8. Submission checklist
9. Troubleshooting

## Definition of Done
- Documentation is clear, comprehensive, and beginner-friendly
- Blog template file is created and well-commented
- All frontmatter fields are properly documented
- Media handling instructions are clear with examples
- Documentation is reviewed for accuracy and completeness",,0.621738136
OpenLake/OpenLake--Website,43,"Add CONTRIBUTING.md guide for new developers
## 🔍 Summary
No CONTRIBUTING.md file found. This is the first file new contributors look for when joining a project.

## 📋 What Needs to Be Done
- [ ] Create `CONTRIBUTING.md` at repository root with:
  - Development environment setup instructions
  - Code style guidelines and linting configuration
  - Git workflow (branch naming, commit message conventions)
  - Pull request template and checklist
  - How to run tests locally
  - How to report bugs
  - Code of Conduct reference

## 💡 Template
GitHub provides a starter template: https://docs.github.com/en/communities/setting-up-your-project-for-healthy-contributions/setting-guidelines-for-repository-contributors",19,"Feature: Set up media handling for blogs
# Set up media handling for blogs
This is a sub-issue of #15 
## Overview
Establish a robust system for managing and displaying media assets (images, diagrams, etc.) within blog posts.

## Tasks
- [ ] Create a dedicated `/public/images/blogs` directory for storing blog media assets
- [ ] Implement a standardized naming convention for media files
- [ ] Define guidelines for image formats, dimensions, and file sizes
- [ ] Set up responsive image handling using modern HTML techniques
- [ ] Create utility functions for optimizing images during build time
- [ ] Implement fallback solutions for missing images
- [ ] Add support for image captions and alt text in Markdown

## Technical Details
- Configure image optimization tools for production builds
- Implement lazy loading for images to improve performance
- Establish a consistent path structure for referencing media in Markdown files
- Create examples demonstrating proper media inclusion in blog posts

## Definition of Done
- Media directory structure is established
- Images render correctly in blog posts
- Responsive images work across different screen sizes
- Documentation includes clear instructions for handling media",,0.237943903
OpenLake/OpenLake--Website,43,"Add CONTRIBUTING.md guide for new developers
## 🔍 Summary
No CONTRIBUTING.md file found. This is the first file new contributors look for when joining a project.

## 📋 What Needs to Be Done
- [ ] Create `CONTRIBUTING.md` at repository root with:
  - Development environment setup instructions
  - Code style guidelines and linting configuration
  - Git workflow (branch naming, commit message conventions)
  - Pull request template and checklist
  - How to run tests locally
  - How to report bugs
  - Code of Conduct reference

## 💡 Template
GitHub provides a starter template: https://docs.github.com/en/communities/setting-up-your-project-for-healthy-contributions/setting-guidelines-for-repository-contributors",18,"Feature: Implement blog detail page
# Implement blog detail page
This is a sub-issue of #15 
## Overview
Create or update the BlogDetail.jsx component to render individual blog posts from Markdown files with proper formatting and navigation.

## Tasks
- [ ] Update BlogDetail.jsx to fetch and display a single blog post using the slug from URL parameters
- [ ] Implement Markdown rendering with appropriate styling for different elements (headings, lists, code blocks, etc.)
- [ ] Add metadata section displaying author, date, read time, and tags
- [ ] Include author information with optional GitHub profile link
- [ ] Create navigation controls to return to the blog listing
- [ ] Add social sharing functionality (optional)
- [ ] Implement related posts section based on tags (optional)
- [ ] Add syntax highlighting for code blocks

## Technical Details
- Use the getBlogBySlug utility from Issue #16
- Implement responsive design for the blog content
- Ensure proper rendering of embedded images and other media
- Use semantic HTML for better accessibility and SEO
- Add proper metadata for search engines

## Definition of Done
- Blog detail page correctly renders Markdown content with appropriate styling
- Metadata is clearly displayed at the top of the post
- Navigation controls work properly
- Page is responsive across different devices
- Code blocks render with syntax highlighting",,0.271360964
OpenLake/OpenLake--Website,43,"Add CONTRIBUTING.md guide for new developers
## 🔍 Summary
No CONTRIBUTING.md file found. This is the first file new contributors look for when joining a project.

## 📋 What Needs to Be Done
- [ ] Create `CONTRIBUTING.md` at repository root with:
  - Development environment setup instructions
  - Code style guidelines and linting configuration
  - Git workflow (branch naming, commit message conventions)
  - Pull request template and checklist
  - How to run tests locally
  - How to report bugs
  - Code of Conduct reference

## 💡 Template
GitHub provides a starter template: https://docs.github.com/en/communities/setting-up-your-project-for-healthy-contributions/setting-guidelines-for-repository-contributors",17,"Feature: Update blog listing page
# Update blog listing page
This is a sub-issue for #15 
## Overview
Refactor the existing Blogs.jsx component to work with our new Markdown-based blog system and enhance the user interface for browsing blogs.

## Tasks
- [ ] Modify Blogs.jsx to load blog data from Markdown files using the new utility functions
- [ ] Implement tag filtering with a clean UI for selecting categories
- [ ] Update blog cards to display frontmatter metadata (title, author, date, read time, tags)
- [ ] Create responsive grid layout that works on all device sizes
- [ ] Add pagination if the number of blogs exceeds a certain threshold
- [ ] Ensure proper routing to individual blog posts via slug-based URLs
- [ ] Add loading states and error handling for blog data fetching
- [ ] Implement basic search functionality (optional)

## Technical Details
- Use the getAllBlogs utility from Sub-Issue #16
- Implement client-side filtering for tags
- Optimize image loading with lazy loading techniques
- Ensure accessibility compliance for all interactive elements

## Definition of Done
- Blog listing page successfully displays blogs from Markdown files
- Tag filtering works correctly
- UI is responsive and visually consistent with the site design
- Clicking on a blog card navigates to the correct blog detail page
- Performance is optimized for quick loading",,0.115928411
OpenLake/OpenLake--Website,43,"Add CONTRIBUTING.md guide for new developers
## 🔍 Summary
No CONTRIBUTING.md file found. This is the first file new contributors look for when joining a project.

## 📋 What Needs to Be Done
- [ ] Create `CONTRIBUTING.md` at repository root with:
  - Development environment setup instructions
  - Code style guidelines and linting configuration
  - Git workflow (branch naming, commit message conventions)
  - Pull request template and checklist
  - How to run tests locally
  - How to report bugs
  - Code of Conduct reference

## 💡 Template
GitHub provides a starter template: https://docs.github.com/en/communities/setting-up-your-project-for-healthy-contributions/setting-guidelines-for-repository-contributors",16,"Feature: Set up Markdown file structure and parser
# Set up Markdown file structure and parser
This is a sub-task for #15 
## Overview
Establish the foundation for our dynamic blog system by creating an organized file structure for Markdown blog posts and implementing the necessary parsing utilities. This is the first critical step in moving from our static JavaScript array-based approach to a more maintainable and scalable Markdown-based system.

## Objectives
- Create a well-organized directory structure for blog content
- Implement robust parsing for Markdown files with frontmatter
- Establish consistent naming conventions and metadata standards
- Build utility functions that will power the blog system

## Implementation Tasks

### Directory Structure
- [ ] Create a `src/content/blogs` directory as the main container for all blog posts
- [ ] Set up category subdirectories (optional, for better organization)
- [ ] Create an `assets` subdirectory within blogs for blog-specific media files
- [ ] Add sample blog posts to test the implementation

### Dependency Management
- [ ] Install `gray-matter` for frontmatter parsing
- [ ] Install `react-markdown` for rendering Markdown content
- [ ] Install `vite-plugin-markdown` for Vite integration
- [ ] Update `package.json` to include these dependencies

### File Naming Convention
- [ ] Establish the naming pattern: `DD-MM-YYYY-blog-title-slug.md`
- [ ] Create a utility function to generate valid filenames from titles
- [ ] Document the naming convention in the codebase

### Frontmatter Structure
- [ ] Define required frontmatter fields:
  ```yaml
  ---
  title: ""Blog Post Title""
  date: ""DD-MM-YYYY""
  author: ""Author Name""
  authorGithub: ""github_username""
  tag: ""category-tag""
  description: ""Brief description of blog post""
  image: ""/path/to/cover-image.jpg""
  ---
  ```
- [ ] Create validation functions for frontmatter

### Parsing Utilities
- [ ] Create `getBlogBySlug.js` function to retrieve a single blog by its slug
- [ ] Create `getAllBlogs.js` function to list all blogs with optional filtering
- [ ] Implement sorting functionality (by date, popularity, etc.)

### Integration with Vite
- [ ] Configure Vite plugin for Markdown handling
- [ ] Set up appropriate import aliases for blog content

## Technical Considerations
- Ensure proper error handling for malformed Markdown files
- Optimize for build performance with many blog posts
- Establish a strategy for handling images within Markdown content

## Definition of Done
- Directory structure is created and documented
- All required dependencies are installed and configured
- File naming convention is established and enforced
- Frontmatter structure is defined and validated
- Utility functions are implemented and tested
- Sample blog posts can be successfully parsed and accessed",,0.188296527
OpenLake/OpenLake--Website,43,"Add CONTRIBUTING.md guide for new developers
## 🔍 Summary
No CONTRIBUTING.md file found. This is the first file new contributors look for when joining a project.

## 📋 What Needs to Be Done
- [ ] Create `CONTRIBUTING.md` at repository root with:
  - Development environment setup instructions
  - Code style guidelines and linting configuration
  - Git workflow (branch naming, commit message conventions)
  - Pull request template and checklist
  - How to run tests locally
  - How to report bugs
  - Code of Conduct reference

## 💡 Template
GitHub provides a starter template: https://docs.github.com/en/communities/setting-up-your-project-for-healthy-contributions/setting-guidelines-for-repository-contributors",15,"Feature: Implement Dynamic Blog System with Markdown Support
# Feature: Implement Dynamic Blog System with Markdown Support

## Overview
Transform our static blog system into a dynamic, contributor-friendly platform using Markdown files. This enhancement will allow community members to easily contribute blog content through GitHub Pull Requests while maintaining a consistent, well-structured blog experience for our users.

## Current State
Our blog content is currently hardcoded in a JavaScript array, making it:
- Difficult to update and maintain
- Inaccessible to potential contributors without JavaScript knowledge
- Hard to scale as content grows
- Challenging to version control effectively

## Proposed Solution
Implement a robust Markdown-based blog system that separates content from presentation, providing an intuitive way for the open-source community to contribute.

## Goals
* Replace static blog data with a file-based Markdown system
* Make it easy for contributors to easily add new blog posts
* Improve the readability and maintainability of blog content
* Implement proper routing and display for individual blog posts
* Enhance the user experience with better formatting and navigation

## Technical Implementation Details
* Use **gray-matter** for parsing frontmatter metadata
* Implement **react-markdown** for rendering Markdown content
* Integrate with Vite through appropriate plugins
* Create an intuitive directory structure organizing posts by date and category
* Implement efficient static generation or server-side rendering for blog content

## Acceptance Criteria
* Contributors can add new blog posts by simply creating and submitting Markdown files
* Blogs are displayed with proper formatting, syntax highlighting, and responsive design
* Blog listing page offers filterable previews with pagination support
* Individual blog pages render full Markdown content with proper formatting
* Comprehensive documentation clearly explains the contribution workflow
* System handles media assets (images, code snippets) in an optimized way

## Benefits
* **Lower Contribution Barrier**: More community engagement through simplified blog submission
* **Improved Content Quality**: Better formatting and structure through Markdown
* **Enhanced Maintainability**: Separation of content from presentation logic
* **Future-Proof Architecture**: Ability to scale as content grows over time
* **Better SEO Performance**: Structured content with proper metadata

## Resources
* [[Gray Matter Documentation](https://github.com/jonschlinkert/gray-matter)](https://github.com/jonschlinkert/gray-matter)
* [[React Markdown Documentation](https://github.com/remarkjs/react-markdown)](https://github.com/remarkjs/react-markdown)
* [[Vite Plugin Markdown](https://github.com/hmsk/vite-plugin-markdown)](https://github.com/hmsk/vite-plugin-markdown)
* [[MDX Documentation](https://mdxjs.com/)](https://mdxjs.com/) (if we choose to extend with interactive components)",,0.331288099
OpenLake/OpenLake--Website,43,"Add CONTRIBUTING.md guide for new developers
## 🔍 Summary
No CONTRIBUTING.md file found. This is the first file new contributors look for when joining a project.

## 📋 What Needs to Be Done
- [ ] Create `CONTRIBUTING.md` at repository root with:
  - Development environment setup instructions
  - Code style guidelines and linting configuration
  - Git workflow (branch naming, commit message conventions)
  - Pull request template and checklist
  - How to run tests locally
  - How to report bugs
  - Code of Conduct reference

## 💡 Template
GitHub provides a starter template: https://docs.github.com/en/communities/setting-up-your-project-for-healthy-contributions/setting-guidelines-for-repository-contributors",13,"Add a resources section
## Resources Section

### 🎯 **Objective**
To provide a centralized knowledge hub that equips students with the tools, tutorials, and context they need to get started with and grow in open-source development.

---

### 📚 **Section Structure**

#### 1. **Getting Started**
- **What is Open Source?**
  - Basics of FOSS, licensing, why contribute?
- **Git & GitHub Essentials**
  - Introductory guide with commands, GUI alternatives
  - Creating your first PR walkthrough (with GIFs or videos)
- **Common Tools**
  - VS Code, Git CLI, GitHub Desktop, Docker (for advanced workflows)

---

#### 2. **Contributor Pathways**
- **Frontend Development**
  - React, Next.js, TailwindCSS guides
  - Starter templates
- **Backend Development**
  - Node.js, Express, NestJS guides
  - API design resources, database basics (MongoDB, PostgreSQL)
- **DevOps & Infra**
  - GitHub Actions basics
  - Deployment tutorials (Vercel, Netlify, Render, etc.)
- **Open Source Program Guides**
  - GSoC, LFX, Hacktoberfest, C4GT
  - How to apply, write proposals, past OpenLake selections

---

#### 3. **Issue-Hunting & Contribution Guide**
- How to find good first issues
- How to communicate with maintainers
- How to write clean, review-friendly code
- Writing good commit messages

---

#### 4. **Curated External Resources**
- 🧠 Blogs, YouTube channels, and MOOCs
- 📘 GitHub repos (e.g. awesome-open-source)
- 🧰 Tooling (Linters, formatters, boilerplates)

---

#### 5. **Glossary**
- Open source terms and acronyms explained (e.g. PR, CI/CD, LTS, CLA)

---

### 📐 **Design Notes**
- Responsive card layout (tag-based filtering: “Beginner”, “Frontend”, “Docs”, etc.)
- Icons or illustrations per category
- Search bar at the top for quick lookup
- Markdown-based content (optional) – to allow easy PR-based contributions",,0.433527768
OpenLake/OpenLake--Website,43,"Add CONTRIBUTING.md guide for new developers
## 🔍 Summary
No CONTRIBUTING.md file found. This is the first file new contributors look for when joining a project.

## 📋 What Needs to Be Done
- [ ] Create `CONTRIBUTING.md` at repository root with:
  - Development environment setup instructions
  - Code style guidelines and linting configuration
  - Git workflow (branch naming, commit message conventions)
  - Pull request template and checklist
  - How to run tests locally
  - How to report bugs
  - Code of Conduct reference

## 💡 Template
GitHub provides a starter template: https://docs.github.com/en/communities/setting-up-your-project-for-healthy-contributions/setting-guidelines-for-repository-contributors",12,"Update Event Details
",,-0.051487379
OpenLake/OpenLake--Website,43,"Add CONTRIBUTING.md guide for new developers
## 🔍 Summary
No CONTRIBUTING.md file found. This is the first file new contributors look for when joining a project.

## 📋 What Needs to Be Done
- [ ] Create `CONTRIBUTING.md` at repository root with:
  - Development environment setup instructions
  - Code style guidelines and linting configuration
  - Git workflow (branch naming, commit message conventions)
  - Pull request template and checklist
  - How to run tests locally
  - How to report bugs
  - Code of Conduct reference

## 💡 Template
GitHub provides a starter template: https://docs.github.com/en/communities/setting-up-your-project-for-healthy-contributions/setting-guidelines-for-repository-contributors",11,"Update Mentor Details
",,0.354121983
OpenLake/OpenLake--Website,43,"Add CONTRIBUTING.md guide for new developers
## 🔍 Summary
No CONTRIBUTING.md file found. This is the first file new contributors look for when joining a project.

## 📋 What Needs to Be Done
- [ ] Create `CONTRIBUTING.md` at repository root with:
  - Development environment setup instructions
  - Code style guidelines and linting configuration
  - Git workflow (branch naming, commit message conventions)
  - Pull request template and checklist
  - How to run tests locally
  - How to report bugs
  - Code of Conduct reference

## 💡 Template
GitHub provides a starter template: https://docs.github.com/en/communities/setting-up-your-project-for-healthy-contributions/setting-guidelines-for-repository-contributors",8,"Refactor: Create `useProjects` Hook to Dynamically Fetch & Display Project Data
### Description

Currently, the data for projects (e.g., repo descriptions, maintainers, etc.) is **fetched and handled directly within the `Homepage` component**. To improve code reusability, readability, and maintainability, we should extract this logic into a separate custom hook.

### Task

- [ ] Create a custom React hook named `useProjects`  
  - It should handle data fetching from the GitHub API (e.g., `https://api.github.com/users/openlake/repos`)
  - Include error handling, loading state, and ideally, filtering/sorting logic if necessary
- [ ] Use this hook inside the `Homepage` component to get the list of repositories
- [ ] For each project, display:
  - Repository **name**
  - **Description**
  - **Tech Stack**
  - **Maintainers** (optional: use the `contributors_url` from GitHub API)
  - Any other relevant metadata


![Image](https://github.com/user-attachments/assets/ae99548f-8d6b-4a2e-ace6-d776a4af59f6)",,0.352539629
OpenLake/OpenLake--Website,43,"Add CONTRIBUTING.md guide for new developers
## 🔍 Summary
No CONTRIBUTING.md file found. This is the first file new contributors look for when joining a project.

## 📋 What Needs to Be Done
- [ ] Create `CONTRIBUTING.md` at repository root with:
  - Development environment setup instructions
  - Code style guidelines and linting configuration
  - Git workflow (branch naming, commit message conventions)
  - Pull request template and checklist
  - How to run tests locally
  - How to report bugs
  - Code of Conduct reference

## 💡 Template
GitHub provides a starter template: https://docs.github.com/en/communities/setting-up-your-project-for-healthy-contributions/setting-guidelines-for-repository-contributors",7,"Refactor: Replace Static GitHub Stats with Dynamic Data
## Issue
Currently, the GitHub statistics displayed are hardcoded and do not reflect real-time data.
We need to replace these static values with dynamic stats by creating a reusable hook.

## Task
- [ ] Create a custom hook useStats to fetch and return live GitHub stats.
- [ ] Replace the existing static values with data from the hook.
- [ ] Ensure fallback values or error handling is in place if the API fails.

## Reference
![Image](https://github.com/user-attachments/assets/4643e42e-8efc-4ef8-bad8-e580480130ed)",,0.202017322
OpenLake/OpenLake--Website,43,"Add CONTRIBUTING.md guide for new developers
## 🔍 Summary
No CONTRIBUTING.md file found. This is the first file new contributors look for when joining a project.

## 📋 What Needs to Be Done
- [ ] Create `CONTRIBUTING.md` at repository root with:
  - Development environment setup instructions
  - Code style guidelines and linting configuration
  - Git workflow (branch naming, commit message conventions)
  - Pull request template and checklist
  - How to run tests locally
  - How to report bugs
  - Code of Conduct reference

## 💡 Template
GitHub provides a starter template: https://docs.github.com/en/communities/setting-up-your-project-for-healthy-contributions/setting-guidelines-for-repository-contributors",6,"Clicking on ""OpenLake"" text opens the error page instead of home page
The OpenLake text next to the logo on the top left is mapped to the error page instead of the home page 

![Image](https://github.com/user-attachments/assets/0727f1b5-c3ee-4733-aa51-2846bc0647a9)

![Image](https://github.com/user-attachments/assets/ba20aff1-1080-46b5-b35e-f8657890202f)",,0.100128144
OpenLake/OpenLake--Website,43,"Add CONTRIBUTING.md guide for new developers
## 🔍 Summary
No CONTRIBUTING.md file found. This is the first file new contributors look for when joining a project.

## 📋 What Needs to Be Done
- [ ] Create `CONTRIBUTING.md` at repository root with:
  - Development environment setup instructions
  - Code style guidelines and linting configuration
  - Git workflow (branch naming, commit message conventions)
  - Pull request template and checklist
  - How to run tests locally
  - How to report bugs
  - Code of Conduct reference

## 💡 Template
GitHub provides a starter template: https://docs.github.com/en/communities/setting-up-your-project-for-healthy-contributions/setting-guidelines-for-repository-contributors",4,"Update Data for 2024-25
",,0.045913182
OpenLake/OpenLake--Website,43,"Add CONTRIBUTING.md guide for new developers
## 🔍 Summary
No CONTRIBUTING.md file found. This is the first file new contributors look for when joining a project.

## 📋 What Needs to Be Done
- [ ] Create `CONTRIBUTING.md` at repository root with:
  - Development environment setup instructions
  - Code style guidelines and linting configuration
  - Git workflow (branch naming, commit message conventions)
  - Pull request template and checklist
  - How to run tests locally
  - How to report bugs
  - Code of Conduct reference

## 💡 Template
GitHub provides a starter template: https://docs.github.com/en/communities/setting-up-your-project-for-healthy-contributions/setting-guidelines-for-repository-contributors",3,"Migrate from CRA to Vite
",,0.144753486
